state,lcoc_USD_base_res,lcoc_USD_base_pub,lcoc_USD_lwr,lcoc_USD_upr
AK,0.3223650388396781,0.4237063222610314,0.5161444363097587,0.2781729565396213
AL,0.16724872678014285,0.24420748044335405,0.31899544471587804,0.10358648717303551
AR,0.14981522064183025,0.2153454594047682,0.2860250371091491,0.09254907657463268
AZ,0.1643490528815777,0.22722945962853222,0.2953845756386739,0.0984303128756746
CA,0.2179842467394219,0.2992066401199273,0.36704298243823114,0.1402924123536739
CO,0.14521978237136549,0.25259414616304016,0.3303068224250477,0.0838574510375576
CT,0.17627251134468697,0.2862021397949043,0.3387413734812009,0.10302297338742607
DC,0.11870078058220446,0.18718633007615643,0.23557566106319425,0.04266536666666659
DE,0.19298956701808803,0.2691435171472185,0.3573493637561431,0.1327628175393762
FL,0.1763477172112537,0.24479755198385214,0.3294911774993043,0.10502707337227066
GA,0.16932990777179585,0.22833883219441378,0.2969924806105492,0.1042293399144043
HI,0.3577494803139139,0.5001410602632311,0.6275459776889544,0.28298233045771215
IA,0.15981116331100712,0.22212198239029285,0.2815424462979244,0.10943455988047693
ID,0.1311425819769499,0.18731428193153585,0.24461889385212335,0.08101962363744918
IL,0.1810322851501079,0.1868358028296504,0.2203544607015011,0.1299810619026007
IN,0.17079566086781114,0.2372116414221633,0.3048985791569396,0.11432310732864687
KS,0.17941452749391407,0.2371660938371652,0.30207322959613353,0.12445808235136356
KY,0.13647494835375817,0.21362112508778536,0.27948967671744507,0.07668925761985934
LA,0.15228649688421744,0.2090346393741173,0.2843175999039985,0.08918617707080834
MA,0.21258503658046804,0.2757964430204022,0.33525782465334,0.15257733869573448
MD,0.14750245588514174,0.1963053796737905,0.2426970477133747,0.08407895020780402
ME,0.1245280513005653,0.22544418856288453,0.25842892809462137,0.06113667869310622
MI,0.19440978869470216,0.22883302815250361,0.27094761950861257,0.14224749832896003
MN,0.1758076247254766,0.22570449613599916,0.28536151857868475,0.1272573924505478
MO,0.15620142957159328,0.2230632337053985,0.29436139803231326,0.09761781432546143
MS,0.1718794468050894,0.23430596424301764,0.30842626605877405,0.11412422664338344
MT,0.15485502270363985,0.2124235550552246,0.274178006528248,0.11243940051203521
NC,0.16519694781379698,0.21840943032711482,0.28055604739575135,0.10333632122944915
ND,0.13966404501915225,0.19957361190372463,0.2606650136424671,0.0963963466331412
NE,0.16068397360767944,0.22608679105952512,0.298767843260576,0.10989416259770093
NH,0.1519912346017291,0.28527539539324004,0.34773200454020553,0.08303819806035845
NJ,0.20802854709460428,0.24650573657372327,0.30244423361611805,0.147542770747902
NM,0.14858265100285817,0.2554799063841338,0.32853192129998027,0.08535989057160721
NV,0.16255388517960456,0.22792808987087543,0.2992636319555535,0.0997107661088915
NY,0.14591534370659962,0.25107772880441304,0.28759535725984964,0.06802130449213627
OH,0.16480016989509907,0.20912378949510924,0.26015490489327886,0.10858052481475942
OK,0.1578605945112624,0.20643384064871273,0.2687612424973227,0.10114209135872657
OR,0.13561294412178498,0.1925677138271128,0.24831402990675858,0.07728026644263808
PA,0.17787421072474519,0.2241193446545017,0.2813702859209013,0.1205378416588882
RI,0.26700445403836826,0.3160750526643025,0.38089334735454966,0.20827452185624132
SC,0.18075976176448513,0.23212119296149628,0.29359832811797704,0.11856661353715901
SD,0.1618577128834695,0.22011596245902368,0.28438272271259357,0.11731728876297741
TN,0.16436933388892813,0.2543684812494202,0.34665833190487305,0.10198375264058093
TX,0.17725261111600907,0.22922757819911,0.3008013165401389,0.11261541446429763
UT,0.13468102103525112,0.20769679946003164,0.27231199266751743,0.07855275048190317
VA,0.13936742107238018,0.20448869110224685,0.2556279797751543,0.07340692850535173
VT,0.18395137764614444,0.30835191611974294,0.3824744355604226,0.12475334184577191
WA,0.1523555278162568,0.2003118757898515,0.26515245542825466,0.09823224999554675
WI,0.13076671563609252,0.2146781091322577,0.2621480468634825,0.07174309404173623
WV,0.14090103999267473,0.2066817669575797,0.26144263186875333,0.08333423952334097
WY,0.14509118340305685,0.21999714528288158,0.27868364539728924,0.09731797995961573
US,0.174129960760416,0.23851761992772127,0.301068151467709,0.11053385877466895
